n,g,m,r,efficiency
150,4,0.9800000190734864,8,0.360533
150,2,0.9800000190734864,8,0.352622
150,4,0.9800000190734864,8,0.355911
150,3,0.9800000190734864,8,0.363867
150,3,0.9800000190734864,8,0.3656
150,3,0.9800000190734864,8,0.355867
150,4,0.9800000190734864,8,0.355244
150,6,0.9800000190734864,8,0.3476
150,2,0.9800000190734864,8,0.348267
150,3,0.9800000190734864,8,0.360311
150,3,0.9800000190734864,8,0.362711
150,4,0.9800000190734864,8,0.358844
150,4,0.9800000190734864,8,0.366978
150,4,0.9800000190734864,8,0.351289
150,5,0.9800000190734864,8,0.350222
150,2,0.9800000190734864,8,0.356756
150,4,0.9800000190734864,8,0.361956
150,3,0.9800000190734864,8,0.361111
150,6,0.9800000190734864,8,0.340089
150,2,0.9800000190734864,8,0.353022
150,4,0.9800000190734864,8,0.354578
150,3,0.9800000190734864,8,0.354578
150,2,0.9800000190734864,8,0.3596
150,3,0.9800000190734864,8,0.362978
150,2,0.9800000190734864,8,0.345422
150,2,0.9800000190734864,8,0.342933
150,5,0.9800000190734864,8,0.346356
150,2,0.9800000190734864,8,0.350667
150,5,0.9800000190734864,8,0.346444
150,6,0.9800000190734864,8,0.340711
150,2,0.9800000190734864,8,0.349911
150,2,0.9800000190734864,8,0.350667
150,2,0.9800000190734864,8,0.342044
150,3,0.9800000190734864,8,0.363067
150,3,0.9800000190734864,8,0.366844
150,3,0.9800000190734864,8,0.366267
150,6,0.9800000190734864,8,0.338622
150,6,0.9800000190734864,8,0.337244
150,6,0.9800000190734864,8,0.346133
150,3,0.9800000190734864,8,0.358311
150,3,0.9800000190734864,8,0.359378
150,3,0.9800000190734864,8,0.358444
150,5,0.9800000190734864,8,0.342
150,2,0.9800000190734864,8,0.344711
150,6,0.9800000190734864,8,0.341644
150,3,0.9800000190734864,8,0.3616
150,4,0.9800000190734864,8,0.360667
150,6,0.9800000190734864,8,0.344889
150,4,0.9800000190734864,8,0.362978
150,5,0.9800000190734864,8,0.355244
150,2,0.9800000190734864,8,0.353778
150,4,0.9800000190734864,8,0.356711
150,2,0.9800000190734864,8,0.347644
150,2,0.9800000190734864,8,0.349956
150,3,0.9800000190734864,8,0.362489
150,4,0.9800000190734864,8,0.357822
150,3,0.9800000190734864,8,0.366933
150,3,0.9800000190734864,8,0.353467
150,4,0.9800000190734864,8,0.352978
150,6,0.9800000190734864,8,0.341511
150,5,0.9800000190734864,8,0.351778
150,4,0.9800000190734864,8,0.3612
150,5,0.9800000190734864,8,0.355244
